;condicao;dataNascimento;email;ideCadastro;nome;nomeParlamentar;partido;sexo;uf
0;Titular;26/04/1942;dep.beneditadasilva@camara.leg.br;73701;BENEDITA SOUZA DA SILVA SAMPAIO;Benedita da Silva ;PT;feminino;RJ
1;Titular;20/12/1953;dep.angelaamin@camara.leg.br;73696;ANGELA REGINA HEINZEN AMIN HELOU;Angela Amin ;PP;feminino;SC
2;Titular;20/04/1959;dep.renildocalheiros@camara.leg.br;73801;RENILDO VASCONCELOS CALHEIROS;Renildo Calheiros ;PCdoB;masculino;PE
3;Titular;17/05/1957;dep.jandirafeghali@camara.leg.br;74848;JANDIRA FEGHALI;Jandira Feghali ;PCdoB;feminino;RJ
4;Titular;07/04/1947;dep.atilalira@camara.leg.br;74459;ÁTILA FREITAS LIRA;Átila Lira ;PP;masculino;PI
5;Titular;23/05/1948;dep.rubensbueno@camara.leg.br;73466;RUBENS BUENO;Rubens Bueno ;CIDADANIA;masculino;PR
6;Titular;26/04/1946;dep.gonzagapatriota@camara.leg.br;74419;LUIZ GONZAGA PATRIOTA;Gonzaga Patriota ;PSB;masculino;PE
7;Titular;04/11/1941;dep.carlosbezerra@camara.leg.br;141401;CARLOS GOMES BEZERRA;Carlos Bezerra ;MDB;masculino;MT
8;Titular;25/08/1948;dep.juliocesar@camara.leg.br;74317;JÚLIO CÉSAR DE CARVALHO LIMA;Júlio Cesar ;PSD;masculino;PI
9;Titular;21/05/1943;dep.robertopessoa@camara.leg.br;74305;ROBERTO SOARES PESSOA;Roberto Pessoa ;PSDB;masculino;CE
10;Titular;05/10/1944;dep.elcionebarbalho@camara.leg.br;74075;ELCIONE THEREZINHA ZAHLUTH BARBALHO;Elcione Barbalho ;MDB;feminino;PA
11;Titular;24/12/1949;dep.arlindochinaglia@camara.leg.br;73433;ARLINDO CHIGNALIA JUNIOR;Arlindo Chinaglia ;PT;masculino;SP
12;Titular;15/11/1959;dep.ricardobarros@camara.leg.br;73788;RICARDO JOSÉ MAGALHÃES BARROS;Ricardo Barros ;PP;masculino;PR
13;Titular;05/07/1946;dep.ivanvalente@camara.leg.br;73531;IVAN VALENTE;Ivan Valente ;PSOL;masculino;SP
14;Titular;24/05/1936;dep.maurolopes@camara.leg.br;74749;MAURO RIBEIRO LOPES;Mauro Lopes ;MDB;masculino;MG
